family,doc_state,notes,updated,engines,sid_count
20cc,OK,"research-player sweep complete (2026-06-14). 20CC = editor by Falco Paul (player) + Edwin van Santen/EVS (music), Dutch group '20th Century Composers' (Leiden, founded 1988-06-17). 209 HVSC SIDs, all PSID v2, 87% single-subtune. 'World's fastest routine' (4 raster lines). No public source BUT editor's in-tool F7 instructions recovered verbatim (src/20CC_Composer_Instructions.txt). **FC-INSPIRED, NOT an FC fork (settled): F7 text says 'almost the same as Future Composer but this is NOT the same!'; concrete binary diffs vs FC - vibrato=bit-rotation loop (FC=signed-delta), wave dispatch hi-2-bit $00/$40/$80/$C0 (FC=$40/$60), filter only on note-load (FC=per-frame program), Variant-B embeds instrument in note pitch (FC never); own sidid sig, no based-on flag. FC pipeline does NOT transfer wholesale.** TWO VARIANTS: A (174/209) load/init $1000 play $1003, ~2KB, state $1006-6F; B (35/209) load $0FFA play $1081, instrument-in-note-pitch (note&$1F=inst, $E0-FF=cmd) = separate extract path. WRITE MODEL (voice X=2,1,0, offsets $146D={00,07,0E}, all STA $D4xx,Y): freq-hi/lo, PW-lo/hi, **$D418 absolute written 3x/frame (beat-accent mechanism)**, $D404 ctrl/gate (note-load or frame_counter==2 HR); AD/SR $D405/06 + filter $D416/17 on instrument-load only; vibrato=bit-rotation; freq 96-note split table $1485/$14E5. DATA = 2 levels (vs FC's 3): sequence stream (ptr $1545, $00-3F loop/$40-5F repeat/$60-7F waveform-idx/$80-BF arp-swing-param/$C0-FE filter-porta/$FF end) + wave-programs (ptr $154B, hi-2-bit dispatch: $00-3F dur+inst, $40-7F dur+pulse, $80-BF dur+note, $C0-FE dur+freq-lo-hi, $FF end). Instruments 8-byte @ $15FB (byte4=$FF suppresses filter); settings $81=beat-accent $40=appreq(arp?). Features: 2x/3x/4x speed, hard+soft osc restart, sample play, PWM, voice-3 feedback. Address variety = relocation ($FFF/$1000=120, $1670 HeatWave=15, $E0xx=4, $F900=2, scattered=68). Migration first step: disassemble Variant-A Vlindertjes.sid ($106C) for auto-swing/beat-accent/glide algorithms + Variant-B note packing. Cleared to start disassembly. See pipelines/20cc/docs/README.md.",2026-06-14,"[""20CC""]",246
amp,OK,"research-player sweep complete (2026-06-14). AMP = Advanced Music Programmer V2.3 by Andrew Miller (=Andras Molnar, 'Burton', Hungarian; Euratom/Quality/Hitech Studio Designs) w/ co-dev + songs by Markus Mueller ('Hayes'), 1988-90; published via Magic Disk 64 12/1991 (CP Verlag, Germany). 246 HVSC SIDs, all PSID v2 / VBL (no CIA). No public source/spec; structure from byte-stable HVSC inspection + binary credits string (src/). LAYOUT ($1000, 142/246, kernel byte-identical bar ~10 SMC bytes): $1000 JMP init/$1003 JMP play; $100B-15 song config (voice_enable/filter_route/order_len/repeat/pattern_count/speed); $1016-2D 12x2B LE pointers (3 voices x 4 track tables); $102E-8F per-voice state 7B stride X=0/7/14; $10D8 freq LO 96 / $1139 freq HI 96 (PAL, entry24=C2=$041B, entry0=silence); $119E-162D kernel. WRITE MODEL per play(): per-voice decode (AD/SR from instr program, freq+vibrato->$D400/01, PW $D402/03, wave+gate $D404); filter sub x3 (filter_table->$D416, master_vol|filter_mode->$D418); $D417 reso+routing; tempo+loop. SMC: init patches ~5 kernel addrs (vibrato x2/filter/glide x2) - rebuild emits clean code per CORE TENET. TRACK FORMAT per voice = 4 parallel byte arrays (note/transpose/instprog_lo/instprog_hi); instprog hi:lo = double-indirect ptr to wavetable-style instrument programs. INSTRUMENT (16 params): AD/SR/pulse-hi/add-pulse/vibrato s-e/accord(arp German Akkord) s-e/filter s-e/wave start1-end-start2/glide/filter $D417/$D418. NOTE encoding: hi-2-bit class + lo-6-bit note#, GERMAN note names (H=B), $80 rest/$40 hold/$00 empty. Editor 4-file format .SNG/.VOI/.NOT/.DAT. Address variety = relocation/packaging of ONE kernel (canonical $1000=142, +3-offset demo-hook=25, $C003/$2800/$E000 reloc); EARLY EURATOM 1988-89 $13xx (8 SIDs) MAY be a pre-v2.3 driver (2nd path?). Migration first step: disassemble canonical $1000 tune for note_byte->index formula + instrument-program terminator + gate/HR mechanism (~$14C8). LEAD: A.M.P. V2.3 Pack (CSDb #200544) reportedly has Cobra's docs. Cleared to start disassembly. See pipelines/amp/docs/README.md.",2026-06-14,"[""AMP""]",246
ariston,OK,"research-player sweep complete (2026-06-15, 6 parallel agents). Ariston = UK commercial C64 game-music DRIVER. Driver by Ian Crabtree (1987); GUI editor 'PROGRAMMED BY PHILIP BRABBIN 1987/88 / (C) ARISTON DESIGNS 88' (string in editor binary); a Wally Beben variant (improved drums) is the DOMINANT one. Named after the 'Ariston...and on...' UK appliance advert. 147 HVSC SIDs; 3 voices; ported to ST+Amiga 1988 (same data format). Composers (typed note data DIRECTLY in 6502 asm; Brabbin GUI was secondary): Brimble, Leitch, Dunn, Matt Gray, Wally Beben, Mark Wilson, Steve Barrett. ORIGINAL SOURCE LOST (Beben HDD failure incl. ST/Amiga port) + never public BUT the sweep found+decoded JC64dis's annotated disassembly of Beben's Dark_Side (by Stefano Tognon) -> COMPLETE byte-level format for the Wally_Beben variant (90% of corpus). Project preserved gzipped at docs/src/jc64dis_DarkSide_project.dis.gz; canonical spec = docs/src/archive_format_summary.md. FORMAT (Beben variant): hierarchy Song->3 Tracks(per voice)->Patterns->notes+fx, voices at SID stride {0,7,$0E}. Track/orderlist bytes: $00-7F pattern#, $80-BF transpose-down, $C0-FE transpose-up, $FF end/loop. Pattern bytes: $00-5F note (96-note/8-octave); $7A DVI delay-vibrato, $7B GLI glissando, $7C CTR/$7D TRL/$7E TIN/$7F TDE trill family; $80-BF Lxx note-length; $C0-DF Ixx instrument(0-31); $F0-FB Sxx speed (12 tempo lvls); $FC vv VOL->$D418; $FE STP gate-off; $FF END. INSTRUMENT=8 bytes: control, AD, SR, pulsewidth(2B lo|hi), vibrato(step|size), pulse-sweep, trill-bits, effect-flags (bit0 BASS-drum/bit1 plunk/bit2 echo/bit3 SIDE-drum). Notable: trill ornaments, glissando, pulse-sweep, drum/plunk/echo ('phasing' enhanced by Maniacs of Noise who got the source late 1987), UNUSUAL bidirectional pattern scan ($FE forward/$DE backward). Tuning A4=459Hz PAL/477 NTSC (Beben); VGMPF '424/434Hz' likely Crabtree V1/V2; Crabtree's own 433.5Hz PAL. SIDID: 4 sub-fingerprints (Ariston primary + Ian_Crabtree_V1 + _V2 + Wally_Beben) = sub-variants matching after primary, NOT separate engines; 132/147 (90%) carry Beben sig, ~15 don't (Leitch, early Barrett/Beben); write-order differs (V2 adds $D405/06 ADSR+double-$D404 HR; Beben adds PW writes+drum-tick DEC). CENSUS: all PSID v2; 144 VBI / 3 CIA (Barrett) / 13 own-IRQ play=0 (Beben5/Barrett3/Wilson3/Tapanimaki1/Pedersen1); load addrs SCATTERED $08xx-$F1xx (each composer own origin; Brabbin-editor default cluster $0832-0856). NO third-party parser; fully relocatable. 'Ariston Design' = scene group named after driver (Moley/Neil Scales), unrelated to authorship. OPEN (migration): only Beben variant disassembled - run JC64dis on a Crabtree V1 (Outrun.sid/Angel_Meadows.sid init=load+3) + V2 tune; resolve VOL $FC-vs-$FD ambiguity (spec says $FC, JC64dis constants say $FD); per-IRQ path for 13 play=0 + 3 CIA tunes (Tetris 13KB init=$7440 play=0; Pedersen Digi_Panth_2 maybe digi); register-confirm drum/plunk/echo/bidi-scan; freq-table tuning census. Cleared to start disassembly. See pipelines/ariston/docs/README.md.",2026-06-15,"[""Ariston""]",148
basic_program,OK,"research-player sweep complete (2026-06-22, 6 leaf agents + local recon). Basic_Program = 486 HVSC SIDs, ALL RSID v2 with load=init=play=0 + C64-BASIC flag (flags bit1) set; payload is a tokenized Commodore BASIC V2 program at $0801 that POKEs the SID. NOT a machine-code player - the 'engine' IS the C64 BASIC+KERNAL ROM interpreter; each tune is its own hand-written micro-program (no shared player, no play() vector; runs from RUN, loops via GOTO; tempo = FOR/NEXT busy-waits). sidid classifies by CONTENT (tokenized BASIC referencing 54272-79=$D400-07: '=5427x', 'FOR X=0 TO', 'POKE 5427x'), not a fingerprint. ADJACENT LABELS ARE NOT THIS: Basic/Jim_Butterfield (47)=named player; Basically_Music (12)=machine-code, pun name. CORPUS (exact, full-corpus detokenize parse_fail 0/486): DATA/READ 389(80%), PEEK 171, GET 81, SYS->ML 79, TI 73, RND-any 94 (RND(0)=8, RND(neg/TI)=24 mostly fixed-seed=deterministic, RND(+)=62), SIN/COS 24, WAIT 20. ORIGINS: 62=The 100% BASIC Project (Alan Bond 2013-15), ~150=1980s magazine type-ins (Family Computing/MicroTones, COMPUTE!, Commodore PRG-guide), long publisher tail; many have scanned originals on archive.org for detok validation. BLOCKER1 (ground-truth capture) SOLVED pending ~25-line patch: tools/siddump.cpp never calls libsidplayfp engine.setRoms(); with stub ROMs BASIC won't run (one $D418 then silence). Real C64 ROMs ALREADY at ~/.local/share/sidplayfp/{kernal,basic,chargen} (MD5-verified). libsidplayfp psiddrv auto-handles BASIC warm-start $BF53/55 + $030C subtune select (PEEK(780)) once ROMs load. ROMs are Commodore copyright - use locally, never commit. BLOCKER2 (representation): RECOMMEND Path B (trace-lift) - capture deterministic --writelog flat (reg,val) stream, lift to USF note events (engine-agnostic, CORE-TENET fit; covers SYS-hybrid + algorithmic + RND that source-decompile Path A cannot). No new USF schema fields. Reuse+upgrade deprecated/gt2_pipeline regtrace->USF (currently VBI-snapshot=Trap A; switch to --writelog). Verdict = flat un-bucketed (reg,val) compare + duration_tol (busy-wait quantization). DETERMINISM: under Path B the nondeterminism worry dissolves - libsidplayfp is deterministic from cold reset, so RND(0)/TI/timer reads are stable; freeze ONE canonical realization. Real exclusion is CURATORIAL (subset of 81 GET 'play-along, no music without keypress'), sized empirically after the capture patch. NEXT: (1) patch siddump --roms-dir; (2) capture-survey all 486 x2 for richness+determinism; (3) harden detok to C2's NORMAL/IN_QUOTE/IN_REM machine + scan-by-$00; (4) Path-B lift + verify entry; (5) iterate FULL on stratified subset -> wide batch; curatorial exclusions -> excluded_sids.json. See pipelines/basic_program/docs/README.md.",2026-06-22,"[""Basic_Program""]",524
cheesecutter,OK,"research-player sweep complete (2026-06-14). CheeseCutter 2.x (Timo Taipalus/Abaddon, Triad; open-source D tracker, GPL; source local at tmp/dmc_hunt/CheeseCutter/). 302 HVSC SIDs. PLAYER = evolved JCH NP21.G4 (src/c64/player_v4.acme) -> effect chain/write model ALREADY in jch_newplayer + laxity_newplayer docs; this corpus = the CC-specific delta. KEY MIGRATION FACTS: (1) exported SID is ASSEMBLED FRESH PER TUNE (player_v4.acme text-substituted + song data merged via build.d) - not pre-linked; (2) VARIABLE INSNO per tune (numInstr+1, NOT always 48) - all instrument offsets scale with it = THE critical extractor detail; (3) per-tune effect stripping via 15 INCLUDE_* flags (dumpOptimized) -> player byte image+size varies per tune; INCLUDE_CMD_SET_WAVE($06) always FALSE; INCLUDE_FILTER=FALSE -> no $D415-17 writes (~half of tunes); (4) seq end-mark $bf (not NP20 $7f); (5) timing 1x=speed0/VBI, multispeed=speed0xffffffff/CIA $4cc7/mult. SIDID: 4 sub-sigs NON-EXCLUSIVE (one binary matches several; cfg-order picks) - all single-SID share ONE extraction path (2.5+=184, parent-only=108, 2.3-2.4=4 artifact, 2.0-2.2=0). 2SID stereo (9 PSIDv3, 2nd SID $D420, 6 voices {$00,$07,$0E,$20,$27,$2E}, filter interleaved D415/D435...) needs a 6-voice verdict; stereo branch never merged to master. Release timeline mapped to player strings cc4.03(2.7.1)/cc4.04(2.8)/cc4.07(2.9); exports carry NO version string. AUDIT before migration: 25 LMan init=$080D/play=0 + 4 Abaddon $0FED groups. Cleared to start disassembly. See pipelines/cheesecutter/docs/README.md.",2026-06-14,"[""CheeseCutter_2.x""]",308
companion,OK,research-engine sweep complete; gathered corpus present; cleared to start disassembly/annotation.,2026-06-13,"[""Companion""]",26
cyberlogic,OK,"research-player sweep complete (2026-06-14). Cyberlogic SoundStudio (CSS) V4.0, 1991-92, German scene - player code by Oliver Klee ('Odi') + music/data/concept by Sascha Nagie ('celticdesign'), group Demons of Sound. 196 HVSC SIDs, all PSID v2 / VBL (speed=0). No public source/spec/manual; structure from byte-stable HVSC inspection + Oliver Klee's first-person STIL comments on ~14 tunes (richest primary source - filter quirk, CSS packer, low-raster variant, porta/arp/PWM). Author split confirmed by embedded string 'MUSIC SASCHA NAGIE, PLAYER O.KLEE'. SELF-CONTAINED (each SID embeds player+data). LAYOUT ($1000, 133/196): 6-entry jump table (init+0/play+3); ASCII string load+$12; state $1032-A0; 13 parallel 32-entry instrument tables $17D8-1916; 95-entry freq table $1928/$1987 DOUBLES as pattern-pointer table (dual-indexed); 6 section-metadata arrays $1C0E-5F + 3 voice->pattern tables ($19E6/$1A9E/$1B56); pattern streams $1D0E, terminated by $2A $2A $2A ('*** END OF MUSIC ***'). WRITE MODEL (voices X=2,1,0, V3 first): per voice D401(freq-HI)->D400(freq-lo)->D402/03 PW->D405 AD->D406 SR->D404 ctrl/gate (FREQ-HI-BEFORE-LO is unusual fingerprint); global D416->D417->D418 once/frame, $D418 value from PER-SECTION table $1C5E[section] (not fixed - source of STIL filter quirk). NOTE encoding 1 byte: upper nibble=instrument (LSR x4 per sidid sig), lower=pitch step; interleaved duration+command bytes. $6000 cluster (13) = TWO unrelated engines: SID*Nation (celticdesign 2013, LSR x6 init) + Timeout (Blue Ninja 1992 'MINIPLAYER3.0 91 BY TBN', early Odi 4-entry jumptable). Player NOT frozen - >=2 generations (Odi orig + 1996 rev 'LARS HUTZELMANN 96 PLAYER O.KLEE'). Composers all German: Nagie (120/61%), X-Radical (28), Blue Ninja (24, extended CSS as Protovision game engine), Odi (24). Migration first step: disassemble canonical $1000 tune for $80-FB effect-opcode map + $FC/FD args + section-advance trigger ($1035) + $1C0E SMC sentinel; handle >=2-3 generation layouts. LEAD: Soundstudio.prg (zimmers.net, 12/11/92) + css.d64 (CSDb #170632) editor binaries. Cleared to start disassembly. See pipelines/cyberlogic/docs/README.md.",2026-06-14,"[""Cyberlogic_SoundStudio""]",197
cybertracker,OK,"research-player sweep complete (2026-06-14). CyberTracker = native C64 tracker by Bjarke Norgaard Laustsen (CyberBrain)/No Name, 2001. 255 HVSC SIDs, all PSID v2 / VBL speed=0 (zero CIA), <=2 subtunes. WELL-DOCUMENTED: full feature manual public at noname.c64.org/tracker/ (saved verbatim in src/). Cyberbrain_Digi (separate digi) + Cyberlogic_SoundStudio (different engine) are NOT this family. TWO SIDID STRINGS = same musical format, DIFFERENT player implementations + write ORDER (need 2 paths or USF write_order flag): CyberTracker(_ct, 125) = the tracker's PSID save, engine FOLLOWS song data so init floats $1DC0-2BBE play=init+$51 (position-dependent, abs addrs patched at save) - 87 native + 35 Packer-fixed-$1000; CyberTracker_exe(130) = Executable Maker output, fixed $0800/engine $4800-5600/init $53A2 play $53E2 gap $40 (98.5% one layout, covers ~51% of all tunes from one disasm). WRITE-ORDER DIFF: _ct freq interleaved V1(lo,hi)V2(lo,hi)V3(lo,hi); _exe all-lo-then-all-hi V1lo,V2lo,V3lo,V1hi... (same for PW); ctrl/ADSR/SR/filter/vol order identical. WRITE MODEL: ~25 regs/play + HR writes (SR/AD=0/gate-clear/gate-set); state page _ct $10xx mapped (Ybase $1046={00,07,0E}, freq $1090-95, PW $1096-9B, ctrl $10B1-B3, ADSR $10B4-B9, filter $10A8/A9/BA, vol $10BB); _ct magic 60 60 60 'ct' at $1006; _exe 13-entry envelope dispatch $47F6. DATA MODEL (manual): 3-ch FastTracker patterns (NOTE/INST/EFFECT, <=128 lines, 256 patterns, 796 shared lines), tracks share patterns+insts (orderlist differs); 31 instruments x 8 graphical envelopes (vol/wave/PW/filterpass/cutoff/reso/pitch/pitchmode, 768 shared points); 20 effects incl Dxx MULTI-EFFECT chaining (255-line table, signature feature); one filter all 3 ch, lowest-ch-wins; Fxx tempo, speed<3 HR issues. Versions V1.00(#2601)->V1.01(#25, fwd-compat)->ExeMaker->Packer. **BYTE-LEVEL FILE FORMAT OBTAINED (user-supplied Wayback capture of CyberBrain's own ctfileformat-1_01 spec -> cluster_byte_format.md + src/ctfileformat-1_01.txt): NO PACKING in files (raw runtime tables); .ct header magic 00 04 'nntrkmzx'; length-prefixed tables VIBDPT/VIBSPD/ARPEGGIO/ADSR/INSNAM(screencodes)/MLTEFF/SNGLEN/SNGREP/LOOPSTART/ENVX-Y-LO-HI(768 pts)/PATTERNS/PTNLEN/ENVLEN/TRKMEM; pattern cell=3 bytes %nnnnoooi/%iiiiEEEE/%eeeeeeee x3 ch=9B/line (instrument#=5-bit split byte1.bit0+byte2.hinib; note 0-15 w/ 13=gate 14=stop); envelopes=16-bit (x,y) in 4 split tables, per-env len from ENVLEN, loop LOOPSTART $FF=none; ADSR sustain nibble always 0 (vol-envelope drives sustain). .ci instrument file = one instrument's slice.** Data model now needs NO RE; only file<->in-memory ($10xx/$53A2) offset binding remains (one disasm). Migration first step: disassemble one _exe $53A2 + one native _ct tune to bind the spec's tables to runtime addresses. Cleared to start disassembly. See pipelines/cybertracker/docs/README.md.",2026-06-14,"[""CyberTracker"", ""CyberTracker_exe""]",258
david_whittaker,OK,"research-player sweep complete (2026-06-17, clean leaf-agent re-run). NO original GPL source (Whittaker hand-coded each game as macro-expanded 6502 w/ absolute pointers, never released a driver), but enough to disassemble: (1) full annotated P1 disassembly src/Whittaker_David_Panther.asm (dmx87, realdmx/c64_6581_sid_players -- the ONLY public C64 disasm); (2) two battle-tested cross-platform parsers to mine -- NostalgicPlayer C# (neumatho, most complete, old-QBall/new split) + c-flod C (rofl0r, 42 Amiga variants); (3) full format synthesis (format_spec.md) + Panther command decoder. VARIANT CENSUS (sidid_signature.md): sidid has 5 byte-patterns under ONE David_Whittaker entry (no version split); 103-SID fingerprint census = P1 main 86 / P2 alt-reg 10 (shares P1 data fmt, diff write order) / P3 early 4 / P5 tiny 3 / 1 unknown (Exorcist) -- Prg2Sid 1.20 also flags 'Whittaker (2 variants)'. FORMAT: 7-byte/subtune song table <speed,3xvLo/Hi> absolute ptrs; pattern notes $00-7F + commands $80-93; end-byte $88(C64)/$87(ZX)/$FF(NES); 84-91 entry freq table (PAL/424Hz) + 13 arps; gate-off = ATOMIC hard-restart retrigger (NOT ADSR release -- jsSID 'Whittaker workaround' confirms), effects all software-computed. Driver lineage: pre-1986 minimalist (Lazy Jones, 424Hz) -> June 1986 Jason Brooke rewrite (Panther onward) -> 1987+ stable. Cleared to disassemble. KEY OPEN (fillable from our 103 binaries at migration): only P1 disassembled publicly -> RE a P2/P3/P5 rep to bound format deltas; reconcile pspecial byte-range map vs Panther.asm; confirm PSID speed flag VBI/CIA; Exorcist exclusion?; hvsc84.csv has 7 P1 false-negatives (DB refresh 110->117). See pipelines/david_whittaker/docs/README.md + provenance_log.md.",2026-06-17,"[""David_Whittaker""]",117
deflemask,OK,"research-player sweep complete (2026-06-14). DefleMask (Delek), modern cross-platform tracker; C64 SID is one of many targets. TARGET = the 6502 player + song-data embedded in the .SID EXPORT, not the .DMF authoring format. 310 HVSC SIDs across THREE structurally different export players (tag = app version): DefleMask_v1 (1 SID, byte-at-a-time reg/val stream), DefleMask_v2 (69, Y-indexed write-queue blit, app v0.9-0.11), DefleMask_v12 (240=77%, app v0.12+/v1.x). v12 = clean register-bank BLITTER: LDX#$18/LDA $04,X/STA $D400,X/DEX/BPL writes all 25 regs D418->D400 every frame from a ZP shadow (Mode-1-deterministic). v12 song layout after ~253B player: $110A CIA-rate, $110C song-ptr, $110E 25-byte register-reorder table, $1127 bit-field-compressed stream (control byte flags which regs changed). ZP self-modifying fetch routine (do NOT reproduce per CORE TENET). v12 WRITES CIA1 $DC04/5 (hw-incompat bugs #216/#353). Effect catalogue + SID instrument model derived from Furnace (DefleMask never open-sourced the player); 3 DMF spec versions saved. All 310 = PSID v2, vblank speed=0, single-subtune. Reflextracker (137) is a SEPARATE engine. Migration first step: disassemble one v12 .sid for the bit-field decode off-by-one. Cleared to start disassembly. See pipelines/deflemask/docs/README.md.",2026-06-14,"[""DefleMask_v1"", ""DefleMask_v12"", ""DefleMask_v2""]",330
defmon,LITTLE,single research.md first-pass overview; research-engine sweep not yet run.,2026-06-13,"[""DefMon""]",106
digi_organizer,SOME,"Player RE'd from static disassembly (no research-player sweep yet - core understood without one): ONE canonical core in 131/131 HVSC carriers (nibble-play signature census). CIA2-NMI 4-bit $D418 volume digi, nibble-packed page-aligned samples, orderlist+32-row-pattern sequencer, per-sample CIA latch (pitched drums), |$10 or_mask. Pairs with music engines: 51 Music_Assembler, 14 DMC, 27 other, 39 standalone. Pipeline pipelines/digi_organizer/ born 2026-08-29 (first parametric-digi family, digi{} schema): Heavy-Beat FULL Mode-2 CYCLE-STRICT. GAPS: standalone driver variants (strict C13 probe refuses non-canonical drivers), paired-member handling (init copies core to $9000), authorship/lineage research not done. See pipelines/digi_organizer/RE_NOTES.md.",2026-08-29,"[""Digi-Organizer""]",39
digitalizer,OK,"research-player sweep complete (2 waves). Source NOT public, no open-source parser/spec exists -> reconstructed from (a) Olav Morkrid's recovered V3.0 help file (src/digitalizer_v3.0_instructions.txt: sequence byte encoding $00-1F inst / $20-3F arp / Sx sustain / Rx rel / portamento; wave+pulse+filter+arp sub-tables + 2 speeds), (b) decoded sidid signatures (V2.x relocatable, V3.0 fixed-addr, Olav_Moerkrid tracker player, OmegaSupreme_Digi 4-bit $D418 digi), (c) SDI/SID-Duzz'It as documented descendant (sdi_format_spec.md, DTZ2SDI converts Digitalizer V3.x->SDI). Tracker + integrated digi. Ancestor = Prosonix/SteinTronic (Stein Pedersen). Versions V2.2->V3.5; V3.5=GRG rewrite (no own sidid). OPEN (RE-phase): on-disk table layout, $7F vs $FF seq sentinel, digi model, per-effect register formulas, DTZ2SDI .d64 extract. 619 HVSC tunes (542 V2.x + 77 V3.0).",2026-06-13,"[""Digitalizer_V2.x"", ""Digitalizer_V3.0""]",764
dmc,OK,research-engine sweep complete; gathered corpus present; cleared to start disassembly/annotation.,2026-06-13,"[""DMC"", ""DMC_V6.x""]",10774
electrosound,OK,"research-player sweep complete (2026-06-14). Electrosound 64 (Orpheus Ltd. / Steve Mellin, 1985, COMMERCIAL). 297 HVSC SIDs. NO public source AND NO published disassembly exist -> from-scratch RE target; byte-level format is migration-phase work. CAPTURED: (1) ONE relocatable player - play() IRQ = BASE+$0A65 (79% of corpus confirm play_addr&$FF==$65; minor builds +$0A75/$0A7A, <=3 builds), init = BASE+$0518, song data at BASE+$007C, IRQ patch sites +$007B/+$0084; fixed ZP state $02AB=tune# $02FF=speed $02AD=tempo(dynamic) $02F9=enable; CIA1-timer driven; NON-looping. Address variety = ripper packing conventions (4 init-stub styles), NOT engine variants - same binary. Dominant bases $4000 (Leitch) + $1000 (Dunn/Stormont). (2) Musical model from manual/Zzap: up to 10 instruments w/ full SID regs + 5 modulators (targets pitch/PW/cutoff/key-down/key-up; per-mod delay/speed/depth/direction[up/down/vibrato/shuffle]/restart); 20 sequences <=240 steps, 3 instruments locked to 3 voices, per-seq tempo, 24 fixed drum sounds on rest; up to 5 tracks MOD-style chaining. (3) TUNING A=423.9 Hz NOT 440 -> USF codec needs a custom note table. (4) Reputed slowest/worst player = full register writes every frame (dense deterministic stream). Electronic_Speech_Sys (5) is SEPARATE. Migration first step: disassemble a canonical $1000/$4000 SID for instrument/sequence/drum byte layout. Cleared to start disassembly. See pipelines/electrosound/docs/README.md.",2026-06-14,"[""Electrosound""]",301
ems_odie,OK,"research-player sweep complete (2026-06-14). EMS = 'The Electronic Music System', native C64 editor by Sean Connolly ('Odie') of Cosine (UK), from 1989; V7.03 released 1997-01-18. 196 HVSC SIDs (EMS/Odie). WELL-SOURCED: official V7.03 disk (CSDb #4649 ems_v703.d64) downloaded, 7 bundled HELP files decoded from PETSCII -> complete feature model (src/*.txt). FEATURE MODEL: 3-level Tracks->Sequences->Notes; up to 8 tunes/module, 3 voices, 96 sequences (<=$FF bytes), note dur <=$40. Track cmds: rst/stop/fad/tmp($02-0D)/tr+/tr-/it(inst transpose)/rep/seq# $00-5F. Sequence cmds: notes C0-B7, vol(+filter+reso), ^(glide), event(screen-sync), hdnon/hupon(osc glide), arpon/vibon, arp/sfx/dur/fil, slion/cycon/porton, sus/gat, nrep. 15 INSTRUMENT PARAMS: firstwf, wf+gateoff(5-bit tab idx+3-bit gateoff), AD, SR, pulse lo/hi, pulse rate/delay/min/max, vibrato delay, osc-delay+vib-depth, vib speed, soundtype(0=vib/1=arp/2=osc-gl-dn/3=osc-gl-up/5=hi-freq), filter hibyte, filter table, arp override. 24 waveform/24 arp/24 filter tables. Vibrato amplitude-compensated; glide=division routine; filter NOT sped by multispeed. Player API = 5-entry JMP table (init/play/engine/clear/fade), relocatable. WRITE MODEL (V7.03): voice V3->V2->V1 (X=2,1,0, voice0 inside global-filter JSR); per voice freq lo/hi->PW lo/hi->ctrl; global $D418(vol+route)/$D415/16/17; HR gate-off frame before gate-on. THREE GENERATIONS (distinct sidid sub-sigs): V7.03 (5-JMP, LDY#$16 clear, Y from $1015,X); V9.x (scene V8/V9: dispatcher passes Y=SID-base param to uniform JSR, mutually exclusive w/ V7.03); V10.x (init ASL/ROL table-expand 83-entry $53 = DECOMPRESS packed freq data + SMC subtune patch). RELATED ODIE STRINGS all=Connolly but DISTINCT players (separate targets): Odie/Cosine(9, pre-EMS, $80 sentinel), Odie_tiny(3, ~1K 4K-compo), Odie/Pulse(2, oldest, CPU banking+KERNAL). Digital_Systems NOT Odie. CORPUS: 195 PSIDv2+1 v3(2SID Lovefunk), 195 VBI+1 CIA(Brian_the_Lion s1), 87% single-subtune, 72% canonical $1000/$1003, 37 (init,play) pairs; Merman 99/50% (1999 Ozone covers), Connolly 61, TMR 13. Migration first step: disassemble V7.03 $1000 tune for instrument-record byte offsets + stream/table wire format; handle V7/V9/V10 dispatch + V10 packed-freq decompress; Brian CIA->per-irq, Lovefunk->6-voice. Cleared to start disassembly. See pipelines/ems_odie/docs/README.md.",2026-06-14,"[""EMS/Odie""]",199
future_composer,OK,research-engine sweep complete; gathered corpus present; cleared to start disassembly/annotation.,2026-06-13,"[""MoN/FutureComposer""]",4093
